zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21102,1820,33108.76999999995, 21102,zip,11299,617,161.0762014337552
21104,1121,24535.42999999998, 21104,zip,5300,442,211.50943396226415
21108,2665,93759.31000000042, 21108,zip,18938,886,140.72235716548735
21111,900,31044.06999999993, 21111,zip,4995,566,180.18018018018017
21113,2621,93812.13000000056, 21113,zip,33736,1249,77.69148683898507
21114,5108,183088.8100000013, 21114,zip,26759,800,190.88904667588474
21117,3482,100675.68000000092, 21117,zip,58673,1677,59.3458660712764
21120,1165,36591.729999999945, 21120,zip,7214,532,161.49154421957303
21122,9814,198584.7000000016, 21122,zip,60461,1413,162.31951175137692
21128,1706,38107.33999999993, 21128,zip,14425,750,118.26689774696706
21130,5,202, 21130,zip,296,164,16.89189189189189
21131,986,53588.45, 21131,zip,7456,521,132.24248927038627
21132,1935,26892.71999999997, 21132,zip,3362,761,575.550267697799
21133,853,11557.72999999996, 21133,zip,32489,1177,26.255040167441287
21136,5753,117010.2300000019, 21136,zip,34164,1004,168.39363072239786
21140,372,14685.769999999997, 21140,zip,3431,322,108.42320023316817
21144,4088,93118.1200000007, 21144,zip,35240,1380,116.00454029511918
21146,4267,170297.64000000138, 21146,zip,28006,946,152.36020852674426
21152,506,25937.42999999998, 21152,zip,5511,647,91.81636726546905
21153,84,9404.070000000003, 21153,zip,316,176,265.82278481012656
21154,1432,32637.779999999988, 21154,zip,5911,589,242.26019286076806
21155,225,8949.849999999999, 21155,zip,2584,379,87.07430340557276
21156,38,1853.68, 21156,zip,320,114,118.75
21157,4538,133764.6600000017, 21157,zip,36985,1176,122.69839123969177
21158,2036,62736.160000000025, 21158,zip,20929,900,97.28128434230015
21160,432,7897.949999999998, 21160,zip,2845,644,151.84534270650263
21161,855,25529.959999999937, 21161,zip,5221,493,163.76173146906723
21162,327,8861.850000000008, 21162,zip,4354,468,75.10335323840148
21163,2253,31190.8699999999, 21163,zip,7158,521,314.7527242246437
21201,1094,21142.500000000044, 21201,zip,17136,950,63.8422035480859
21202,492,22378.09999999997, 21202,zip,21010,865,23.41742027605902
21204,8428,189115.3200000032, 21204,zip,21628,860,389.6800443869058
21205,80,3283.3199999999997, 21205,zip,14580,1094,5.486968449931412
21206,814,20841.259999999973, 21206,zip,51561,1962,15.78712592851186
21207,511,14736.519999999984, 21207,zip,47687,1807,10.715708683708348
21208,3218,69404.8800000002, 21208,zip,36441,1493,88.30712658818364
21209,1197,39362.56999999995, 21209,zip,28015,1050,42.727110476530434
21210,586,22138.40999999998, 21210,zip,15213,870,38.519687109708805
21211,373,14625.330000000002, 21211,zip,16299,611,22.884839560709246
21212,1784,57711.109999999935, 21212,zip,33342,1289,53.506088417011576
21213,222,5964.939999999996, 21213,zip,31701,1407,7.002933661398694
21214,930,10893.830000000007, 21214,zip,21177,982,43.915568777447234
21215,1294,21237.409999999996, 21215,zip,58448,2310,22.139337530796606
21216,38,780.86, 21216,zip,31409,1415,1.2098443121398326
21217,524,7613.850000000001, 21217,zip,34487,1382,15.19413112187201
21218,1068,22943.169999999973, 21218,zip,49271,1616,21.676036613829634
21219,1407,24274.23999999998, 21219,zip,9427,568,149.25214808528693
21220,6821,123716.15000000082, 21220,zip,40211,1227,169.6302006913531
21221,3435,71861.3400000003, 21221,zip,43110,1136,79.67988865692415
21222,3186,58565.289999999986, 21222,zip,54873,1287,58.06134164343119
21223,189,5440.709999999999, 21223,zip,23560,1393,8.02207130730051
21224,4252,97096.64000000036, 21224,zip,50433,1701,84.30987646977178
21225,1693,20727.42999999996, 21225,zip,33927,1580,49.90125858460813
21226,355,6695.000000000005, 21226,zip,6257,982,56.73645517020937
21227,1904,36017.46000000001, 21227,zip,33822,1088,56.29471941339956
21228,8380,190287.5699999994, 21228,zip,48133,1331,174.1009286767914
21229,1451,43146.99999999995, 21229,zip,47644,1734,30.455041558223492
