zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21639,559,10110.96,ZCTA5 21639,zip,4639,516,120.50010778184954
21640,141,3286.5,ZCTA5 21640,zip,1440,291,97.91666666666667
21641,17,197,ZCTA5 21641,zip,102,41,166.66666666666666
21643,740,13598.149999999998,ZCTA5 21643,zip,6015,490,123.02576891105569
21645,196,5711.840000000006,ZCTA5 21645,zip,1418,342,138.2228490832158
21647,635,15435.859999999995,ZCTA5 21647,zip,217,82,2926.2672811059906
21648,4,240,ZCTA5 21648,zip,256,92,15.625
21649,100,2484.55,ZCTA5 21649,zip,2131,415,46.926325668700144
21650,222,8666,ZCTA5 21650,zip,290,149,765.5172413793103
21651,297,5999.56,ZCTA5 21651,zip,2735,389,108.59232175502743
21652,249,5809.5,ZCTA5 21652,zip,138,64,1804.3478260869565
21653,75,1085,ZCTA5 21653,zip,108,57,694.4444444444445
21654,6312,175200.69,ZCTA5 21654,zip,960,154,6575
21655,427,15772.760000000002,ZCTA5 21655,zip,4966,357,85.98469593233992
21657,61,2836.7200000000003,ZCTA5 21657,zip,853,177,71.51230949589683
21658,916,52629.99000000004,ZCTA5 21658,zip,3840,393,238.54166666666669
21659,1,10,ZCTA5 21659,zip,1355,341,0.7380073800738007
21660,722,14024.06,ZCTA5 21660,zip,3881,307,186.03452718371554
21661,1339,25956.929999999997,ZCTA5 21661,zip,2502,252,535.171862509992
21662,821,71666.80999999998,ZCTA5 21662,zip,455,92,1804.3956043956043
21663,3198,165478.48000000045,ZCTA5 21663,zip,3356,298,952.9201430274136
21664,37,803,ZCTA5 21664,zip,439,114,84.28246013667426
21665,141,8093.42,ZCTA5 21665,zip,263,114,536.1216730038024
21666,3570,104492.80000000018,ZCTA5 21666,zip,12363,617,288.76486289735504
21667,445,7539.389999999999,ZCTA5 21667,zip,235,132,1893.6170212765958
21668,148,2688.7899999999995,ZCTA5 21668,zip,1815,252,81.5426997245179
21669,146,4473.520000000004,ZCTA5 21669,zip,231,120,632.0346320346321
21671,397,13720.66,ZCTA5 21671,zip,799,172,496.8710888610763
21672,6,92,ZCTA5 21672,zip,139,69,43.16546762589928
21673,437,18756.35,ZCTA5 21673,zip,3423,290,127.66579024247737
21676,78,9237.36,ZCTA5 21676,zip,490,157,159.18367346938774
21677,28,1214,ZCTA5 21677,zip,353,113,79.3201133144476
21678,1059,22807.97999999999,ZCTA5 21678,zip,1771,339,597.9672501411632
21679,213,5971.209999999999,ZCTA5 21679,zip,257,99,828.7937743190662
21701,24907,631639.1800000038,ZCTA5 21701,zip,37185,833,669.8130966787683
21702,17174,430403.05999999936,ZCTA5 21702,zip,42028,1098,408.6323403445322
21703,8726,203219.95000000024,ZCTA5 21703,zip,36265,1388,240.6176754446436
21704,5672,213888.01000000007,ZCTA5 21704,zip,16518,734,343.38297614723336
21705,449,9141.1,ZCTA5 21705,zip,0,12,Inf
21710,1509,45716.58000000003,ZCTA5 21710,zip,4881,308,309.1579594345421
21711,30,741,ZCTA5 21711,zip,1106,291,27.124773960217
21713,1829,40567.68999999998,ZCTA5 21713,zip,10379,777,176.221215916755
21714,426,15300.23,ZCTA5 21714,zip,199,204,2140.70351758794
21716,2201,47591.569999999985,ZCTA5 21716,zip,5311,182,414.4228958764828
21717,97,3016.26,ZCTA5 21717,zip,77,60,1259.7402597402597
21718,165,4618.8,ZCTA5 21718,zip,140,42,1178.5714285714287
21719,115,1636.0099999999998,ZCTA5 21719,zip,1036,185,111.003861003861
21722,248,4822.030000000004,ZCTA5 21722,zip,5667,710,43.762131639315335
21723,214,7010.54,ZCTA5 21723,zip,893,261,239.64165733482642
21727,606,16539.529999999995,ZCTA5 21727,zip,6833,433,88.6872530367335
21733,95,2380.62,ZCTA5 21733,zip,911,230,104.28100987925356
21734,137,2700,ZCTA5 21734,zip,695,180,197.12230215827338
21737,1141,42184.98,ZCTA5 21737,zip,2304,507,495.2256944444444
21738,2133,91235.83999999994,ZCTA5 21738,zip,3416,400,624.4145199063232
21740,9084,156266.82999999897,ZCTA5 21740,zip,61803,1139,146.9831561574681
21742,9377,180980.25000000055,ZCTA5 21742,zip,33180,1046,282.6100060277276
21750,1588,25647.73999999999,ZCTA5 21750,zip,3732,267,425.5091103965702
